KS-507,396,306,90,507,501,6,40,1,27,0
NC-516,216,69,147,304,47,257,4,3,15,12
MA-506,528,462,66,1044,1044,0,159,1,23,3
LA-505,87,74,13,101,101,0,5,1,25,1
NJ-513,167,158,9,51,51,0,90,2,24,1
TN-509,366,217,149,82,82,0,40,16,7,18
MD-505,383,214,169,380,234,146,17,24,14,11
FL-515,266,139,127,44,35,9,10,29,20,5
OH-501,388,373,15,211,211,0,29,1,21,4
MD-600,236,138,98,308,304,4,19,7,18,7
WV-503,266,234,32,54,54,0,19,5,25,0
MA-511,399,361,38,1293,1293,0,59,1,21,3
MI-514,171,134,37,75,75,0,29,4,14,10
CA-517,235,127,108,82,72,10,8,14,20,4
MD-601,623,527,96,358,358,0,12,5,24,0
NJ-515,247,198,49,266,253,13,7,0,23,1
NC-501,472,400,72,37,37,0,192,4,17,6
MA-508,210,191,19,384,384,0,36,0,22,1
OR-507,298,17,281,165,138,27,0,33,7,16
NJ-506,584,360,224,245,243,2,18,12,13,10
NC-500,400,362,38,144,144,0,61,6,20,2
NH-502,182,174,8,114,109,5,63,0,20,2
FL-503,417,201,216,218,174,44,20,22,12,10
MI-515,131,128,3,45,45,0,27,0,22,0
PA-511,200,175,25,330,325,5,10,3,22,0
IL-503,124,108,16,64,62,2,8,2,22,0
NJ-510,174,120,54,255,255,0,1,1,19,3
NY-510,66,36,30,20,20,0,0,2,20,2
MI-509,263,222,41,79,79,0,41,0,19,2
TN-500,361,286,75,166,164,2,43,10,15,5
VT-501,205,143,62,127,127,0,24,7,17,3
NJ-514,334,290,44,131,131,0,13,2,18,2
NJ-509,245,214,31,165,162,3,14,1,19,1
WV-501,136,120,16,92,92,0,8,3,19,1
NY-512,85,73,12,94,94,0,3,0,19,1
UT-504,107,66,41,71,71,0,2,1,16,4
MO-602,215,159,56,82,79,3,51,3,17,2
VA-502,218,211,7,90,90,0,44,1,19,0
IL-517,269,255,14,86,86,0,16,1,19,0
NJ-511,191,158,33,241,238,3,4,4,19,0
AR-505,46,40,6,43,38,5,2,0,19,0
MA-507,455,427,28,198,198,0,265,1,17,1
LA-502,368,303,65,110,110,0,105,0,18,0
NC-506,290,169,121,99,92,7,33,19,9,9
PA-501,235,195,40,198,195,3,44,6,13,5
TN-503,227,201,26,69,69,0,46,2,18,0
AL-505,133,70,63,34,21,13,5,8,16,2
MI-519,110,106,4,151,151,0,8,0,17,1
MN-508,104,92,12,107,107,0,7,1,16,2
MI-516,104,97,7,87,87,0,4,0,16,2
FL-512,781,75,706,283,180,103,9,27,1,16
NY-522,96,87,9,23,23,0,13,2,17,0
AL-501,477,253,224,146,134,12,56,10,11,5
NJ-507,229,158,71,228,215,13,10,4,13,3
VA-514,127,93,34,82,82,0,9,4,9,7
MD-509,249,120,129,100,100,0,8,4,6,10
NY-516,94,92,2,38,38,0,1,0,16,0
NC-511,341,81,260,174,143,31,18,25,6,9
NH-501,202,150,52,198,196,2,33,2,10,5
MA-510,240,181,59,966,964,2,28,3,12,3
MD-513,213,178,35,49,47,2,17,2,13,2
CA-525,192,100,92,77,21,56,6,11,10,5
TX-604,120,77,43,147,147,0,11,6,11,4
PA-504,163,143,20,235,235,0,7,2,12,3
NJ-516,182,164,18,71,71,0,73,0,12,2
VA-505,319,262,57,145,145,0,58,7,13,1
LA-500,299,186,113,164,164,0,27,11,9,5
IL-513,176,161,15,85,85,0,21,1,14,0
MI-502,132,121,11,145,145,0,16,1,12,2
MS-503,249,50,199,71,63,8,4,9,5,9
VA-508,125,104,21,49,49,0,12,0,13,1
MA-515,127,120,7,259,259,0,1,4,14,0
NC-502,237,205,32,117,117,0,70,1,12,1
KS-503,272,225,47,109,109,0,31,9,12,1
PA-508,116,105,11,126,126,0,36,0,11,2
WI-502,123,122,1,73,73,0,33,0,13,0
OK-506,103,66,37,84,81,3,7,26,12,1
OH-504,217,190,27,129,118,11,27,3,10,3
VA-513,173,166,7,95,95,0,10,0,13,0
MD-512,187,127,60,46,33,13,37,9,8,4
LA-506,208,156,52,67,59,8,33,6,9,3
MA-503,214,149,65,180,178,2,17,6,4,8
IL-506,195,154,41,95,88,7,20,3,9,3
AL-506,105,33,72,72,14,58,17,2,0,12
PA-503,109,100,9,60,60,0,16,0,12,0
IL-516,110,103,7,47,47,0,12,0,11,1
NV-502,125,49,76,76,76,0,6,4,4,8
PA-502,247,212,35,159,159,0,8,0,11,1
MN-504,37,28,9,40,32,8,0,0,12,0
PA-505,385,380,5,173,173,0,231,0,11,0
VA-604,187,104,83,213,208,5,17,11,7,4
GA-505,272,186,86,57,57,0,11,6,11,0
IL-501,175,127,48,80,80,0,6,7,9,2
MA-518,115,77,38,428,416,12,9,3,8,3
AR-504,27,27,0,62,62,0,0,0,11,0
AL-504,285,214,71,82,79,3,40,1,10,0
IL-508,132,66,66,108,91,17,29,5,6,4
MA-517,100,94,6,65,65,0,28,0,10,0
GA-506,205,136,69,200,178,22,9,12,9,1
OH-508,174,137,37,286,286,0,14,2,8,2
OK-504,118,72,46,20,20,0,6,6,7,3
IL-502,143,124,19,156,156,0,9,2,10,0
MN-511,35,29,6,88,88,0,3,3,10,0
MI-518,39,37,2,38,38,0,2,0,10,0
MD-503,225,178,47,165,160,5,23,5,7,2
WA-507,211,153,58,201,195,6,10,5,8,1
IA-500,163,154,9,185,185,0,15,0,8,1
GA-503,156,89,67,68,59,9,8,6,7,2
NY-606,124,92,32,17,17,0,4,5,9,0
OK-500,73,30,43,56,48,8,3,6,4,5
IL-519,72,72,0,30,30,0,5,0,9,0
KS-505,29,19,10,124,124,0,2,0,2,7
MI-511,51,47,4,86,72,14,2,0,8,1
NY-513,34,34,0,24,24,0,1,0,9,0
NY-514,16,16,0,7,7,0,0,0,9,0
FL-602,223,79,144,165,55,110,55,10,3,5
VI-500,308,56,252,33,33,0,2,30,0,8
MO-603,108,98,10,87,87,0,18,2,8,0
VA-504,111,89,22,46,46,0,12,4,8,0
TN-506,135,101,34,114,86,28,10,3,7,1
MD-504,112,105,7,102,100,2,6,1,8,0
VA-603,129,117,12,95,95,0,5,0,8,0
MD-506,70,70,0,66,66,0,3,0,8,0
MD-507,99,54,45,68,62,6,37,7,0,7
GU-500,227,18,209,858,94,764,6,15,4,3
CA-529,210,2,208,122,42,80,0,21,2,5
NJ-508,187,152,35,157,147,10,13,4,7,0
MD-502,95,85,10,84,84,0,9,0,7,0
MI-517,57,53,4,112,109,3,5,0,7,0
