CoC Number,CoC Name,Total Homeless,Sheltered Homeless,Unsheltered Homeless,Chronically Homeless,Homeless Veterans,Homeless Individuals,Homeless People in Families,Homeless Unaccompanied Youth (Under 25)
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",752,368,384,104,10,423,329,65
WA-508,Vancouver/Clark County CoC,749,480,269,86,30,354,395,28
MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",747,700,47,195,30,228,519,20
FL-514,Ocala/Marion County CoC,725,290,435,147,72,599,126,54
VA-521,Virginia Balance of State (BoS) CoC,722,563,159,39,35,423,299,30
AK-501,Alaska Balance of State CoC,717,578,139,141,55,506,211,47
VA-501,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties CoC",703,634,69,82,86,572,131,38
MS-501,Mississippi Balance of State CoC,697,451,246,33,51,465,232,30
IA-502,Des Moines/Polk County CoC,676,624,52,75,78,534,142,39
MP-500,Northern Mariana Islands CoC,672,24,648,0,0,208,464,0
WV-508,West Virginia Balance of State CoC,667,567,100,109,82,535,132,40
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",662,509,153,76,94,573,89,38
MA-508,Lowell CoC,658,646,12,6,32,182,476,14
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",635,282,353,40,57,444,191,26
UT-503,Utah Balance of State CoC,634,558,76,34,40,416,218,57
OR-502,Medford/Ashland/Jackson County CoC,633,369,264,170,95,525,108,62
FL-604,Monroe County CoC,631,339,292,83,87,581,50,26
FL-606,Naples/Collier County CoC,621,434,187,90,9,502,119,117
OH-505,Dayton/Kettering/Montgomery County CoC,619,566,53,30,60,459,160,82
FL-517,"Hendry, Hardee, Highlands Counties CoC",609,91,518,283,16,377,232,62
MD-505,Baltimore County CoC,609,389,220,144,32,397,212,24
AL-501,Mobile City & County/Baldwin County CoC,606,341,265,65,76,426,180,18
NE-502,Lincoln CoC,606,557,49,75,53,385,221,42
NJ-502,Burlington County CoC,604,560,44,109,17,330,274,33
CA-525,El Dorado County CoC,602,106,496,241,97,446,156,30
LA-509,Louisiana Balance of State CoC,590,465,125,67,70,501,89,62
WI-503,Madison/Dane County CoC,585,524,61,87,41,320,265,30
MA-502,Lynn CoC,582,531,51,57,0,151,431,2
MO-503,"St. Charles, Lincoln, Warren Counties CoC",578,351,227,36,11,306,272,81
PA-505,Chester County CoC,578,554,24,12,224,387,191,10
TN-500,Chattanooga/Southeast Tennessee CoC,576,359,217,192,54,452,124,17
CA-607,Pasadena CoC,575,228,347,202,30,465,110,36
KS-502,Wichita/Sedgwick County CoC,575,464,111,39,57,395,180,22
NC-504,Greensboro/High Point CoC,573,469,104,30,60,422,151,42
WA-507,Yakima City & County CoC,572,502,70,59,32,287,285,20
NC-501,Asheville/Buncombe County CoC,562,457,105,83,239,505,57,30
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire County CoC",557,502,55,79,213,420,137,28
MN-502,Rochester/Southeast Minnesota CoC,552,495,57,38,10,262,290,133
NJ-507,New Brunswick/Middlesex County CoC,546,421,125,69,19,318,228,22
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",544,434,110,74,22,258,286,48
OR-506,Hillsboro/Beaverton/Washington County CoC,544,175,369,150,58,348,196,45
PA-506,Reading/Berks County CoC,534,521,13,2,38,366,168,29
TX-611,Amarillo CoC,531,419,112,112,61,475,56,39
MA-509,Cambridge CoC,530,463,67,181,13,395,135,30
MD-600,Prince George`s County/Maryland CoC,525,437,88,35,21,193,332,20
FL-503,Lakeland/Winter Haven/Polk County CoC,512,363,149,77,35,342,170,24
VA-505,Newport News/Hampton/Virginia Peninsula CoC,512,432,80,75,68,352,160,18
MS-500,"Jackson/Rankin, Madison Counties CoC",511,231,280,20,0,450,61,20
PA-511,Bristol/Bensalem/Bucks County CoC,511,462,49,27,12,198,313,27
OH-506,Akron/Barberton/Summit County CoC,507,429,78,56,62,392,115,37
NE-500,Nebraska Balance of State CoC,506,492,14,10,17,276,230,54
MN-509,Duluth/St.Louis County CoC,505,312,193,138,21,314,191,74
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",502,99,403,38,43,372,130,44
OH-501,Toledo/Lucas County CoC,499,483,16,38,51,257,242,22
OR-507,Clackamas County CoC,497,151,346,154,27,385,112,20
NJ-515,Elizabeth/Union County CoC,480,425,55,43,3,205,275,16
MI-507,Portage/Kalamazoo City & County CoC,479,451,28,26,18,244,235,33
NJ-514,Trenton/Mercer County CoC,478,394,84,69,20,356,122,37
NC-516,Northwest North Carolina CoC,466,119,347,13,5,199,267,23
MO-500,St. Louis County CoC,462,418,44,73,18,254,208,155
GA-508,DeKalb County CoC,460,275,185,47,21,266,194,19
PA-501,Harrisburg/Dauphin County CoC,460,390,70,45,39,309,151,9
CA-521,Davis/Woodland/Yolo County CoC,459,250,209,174,28,318,141,18
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",455,255,200,190,34,335,120,38
CA-520,Merced City & County CoC,454,156,298,120,17,447,7,23
NC-500,Winston Salem/Forsyth County CoC,453,428,25,60,60,351,102,17
PA-502,Upper Darby/Chester/Haverford/Delaware County CoC,453,413,40,26,11,251,202,19
TN-509,Appalachian Regional CoC,450,305,145,73,43,342,108,11
NJ-511,Paterson/Passaic County CoC,449,360,89,58,12,249,200,25
FL-512,Saint Johns County CoC,445,179,266,42,40,295,150,16
NC-511,Fayetteville/Cumberland County CoC,442,189,253,136,41,279,163,6
AL-503,Huntsville/North Alabama CoC,436,337,99,64,27,327,109,30
IL-520,Southern Illinois CoC,435,298,137,85,19,247,188,136
MI-508,Lansing/East Lansing/Ingham County CoC,435,390,45,45,27,271,164,18
IL-512,Bloomington/Central Illinois CoC,433,392,41,52,21,253,180,53
OK-503,Oklahoma Balance of State CoC,432,139,293,36,1,151,281,44
FL-603,Ft Myers/Cape Coral/Lee County CoC,431,244,187,65,13,317,114,23
SC-500,Charleston/Low Country CoC,425,221,204,108,127,393,32,12
NJ-500,Atlantic City & County CoC,422,313,109,104,56,382,40,32
MI-505,Flint/Genesee County CoC,420,295,125,42,27,255,165,27
MD-508,"Charles, Calvert, St.Mary's Counties CoC",419,187,232,79,22,238,181,26
MI-504,Pontiac/Royal Oak/Oakland County CoC,412,365,47,45,18,281,131,38
NY-608,Kingston/Ulster County CoC,411,377,34,14,8,167,244,31
GA-506,Marietta/Cobb County CoC,403,285,118,53,21,236,167,9
CA-529,Lake County CoC,401,28,373,178,23,294,107,16
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",401,130,271,112,27,247,154,17
VA-604,Prince William County CoC,400,284,116,76,22,197,203,17
NH-501,Manchester CoC,394,342,52,18,33,192,202,21
MI-510,Saginaw City & County CoC,388,373,15,22,15,188,200,28
NY-601,Poughkeepsie/Dutchess County CoC,388,379,9,6,8,207,181,30
VI-500,Virgin Islands CoC,381,74,307,334,23,369,12,5
NJ-509,Morris County CoC,378,351,27,71,11,223,155,17
AL-504,Montgomery City & County CoC,377,314,63,45,55,284,93,23
OK-505,Northeast Oklahoma CoC,377,325,52,41,19,209,168,50
MD-503,Annapolis/Anne Arundel County CoC,376,263,113,91,21,261,115,14
PA-605,Erie City & County CoC,369,361,8,29,29,264,105,30
CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",367,103,264,71,20,259,108,25
IL-517,Aurora/Elgin/Kane County CoC,360,335,25,63,21,266,94,14
LA-500,Lafayette/Acadiana CoC,357,261,96,49,36,226,131,4
KS-503,Topeka/Shawnee County CoC,356,322,34,119,61,247,109,5
MI-503,St. Clair Shores/Warren/Macomb County CoC,354,290,64,31,56,276,78,15
NC-502,Durham City & County CoC,354,294,60,50,72,254,100,22
MA-505,New Bedford CoC,352,303,49,30,46,174,178,10
OK-507,Southeastern Oklahoma Regional CoC,351,206,145,75,40,249,102,52
NY-602,Newburgh/Middletown/Orange County CoC,350,320,30,17,2,186,164,25
LA-502,Shreveport/Bossier/Northwest CoC,349,302,47,31,83,246,103,14
VA-503,Virginia Beach CoC,349,271,78,62,38,238,111,34
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",337,326,11,29,31,254,83,30
FL-515,"Panama City/Bay, Jackson Counties CoC",336,143,193,38,34,285,51,43
IL-514,DuPage County CoC,331,316,15,36,8,205,126,48
AR-501,Fayetteville/Northwest Arkansas CoC,330,235,95,66,46,235,95,12
IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",329,293,36,73,32,240,89,23
MA-503,Cape Cod/Islands CoC,324,285,39,47,20,145,179,12
