State,PctSH-2017,PctSH-2016,PctSH-2015,PctSH-2014,PctSH-2013,PctSH-2012,PctSH-2011,PctSH-2010,PctSH-2009,PctSH-2008,PctSH-2007
SD,81.86638388,82.74253731,86.87258687,93.78531073,69.01279707,92.54947614,92.25181598,91.24487004,91.24487004,92.91882556,92.91882556
MO,80.91767434,80.36809816,83.47732181,86.63828619,75.76040089,77.1026668,74.73578819,78.01034228,78.58887771,72.94132952,82.23147111
IL,79.09798111,84.00345125,79.40350611,87.04509041,83.6424581,78.82494344,79.15625669,84.80722473,84.31874778,77.96794349,78.58849358
MD,76.04526011,80.12745481,78.59356377,79.77342159,76.57525899,62.85170298,63.63636364,60.07376671,63.65190631,65.66872763,66.65974242
OK,73.44605859,75.16435354,79.40164151,77.76187068,74.00181488,60.47297297,64.60540541,63.39644291,68.35469202,72.88091524,73.1817105
NC,72.65119393,75.84475364,77.30463266,77.22565486,74.07133465,65.13605442,71.68889578,75.24403248,65.59064871,64.66038192,66.75987121
LA,70.49924357,71.43214822,70.81597648,76.05297438,69.86222732,48.98353062,36.64836939,32.81525397,32.93346129,67.50592957,71.29595923
AL,70.02372792,70.37217222,74.13098237,77.13220785,69.22584773,70.33979651,67.45232098,64.3565994,64.35855263,71.33840728,69.62582539
ND,69.60514233,76.59804984,62.75862069,63.11605723,32.57612373,92.29651163,92.86898839,96.12015019,98.96507115,96.91056911,90.72327044
ID,68.63033873,67.15620828,76.14445575,69.77186312,78.83211679,75.30487805,72.07821737,66.66666667,76.1732852,85.38251366,64.32246998
NM,67.92908944,79.93813522,82.73107645,84.41369264,84.8173111,73.86748844,76.45098584,60.6618705,60.6618705,57.97678275,57.97678275
TN,66.72283067,65.75919809,64.44152143,67.7960701,66.34130982,61.29853596,64.90727532,68.1101596,67.72692746,58.32045337,57.50223015
GA,65.37251818,58.43210163,57.91878173,49.71854004,50.14436391,40.55371417,41.58760429,44.09155072,46.26227898,46.42576591,42.47161261
Total,65.16879702,67.93089277,69.31724006,69.57255616,66.85671891,62.77099459,62.89252118,63.34289262,63.99408467,60.38928763,60.47063149
CO,64.72577697,72.14218009,71.67688134,80.60430794,77.82448226,43.29675573,40.65890447,58.33225681,59.14985591,46.63321353,49.00527241
AZ,64.61383704,66.58081797,70.1192401,75.52167699,70.35599318,72.68625022,69.51637471,52.61468894,56.83037837,55.81358104,58.84200464
MT,64.42119032,55.57122708,48.97600936,52.20630372,58.25346113,62.90234588,68.77828054,72.32198142,69.64882943,71.06563162,74.34782609
TX,63.93324274,70.12369172,68.38415407,63.96911739,59.1760932,51.39492541,51.39931186,54.64252157,58.9156987,59.91540184,57.50980195
SC,61.6700715,66.54127895,64.58722451,64.24757762,52.12408313,56.48016277,58.00117809,67.87391013,67.87391013,54.5229682,54.5229682
WA,59.30750284,59.35084266,63.32972862,67.99696345,71.54842342,73.2881389,73.7560546,72.07360783,71.271179,70.40174911,72.10316951
WY,58.41924399,57.29288215,63.53383459,74.37252312,52.57082896,26.19966906,18.78612717,88.94645941,87.57281553,82.42343542,73.9292365
FL,53.15625971,54.226884,52.59888579,47.78537384,41.09732147,35.94707268,36.73505389,37.90898507,39.32984406,41.3174369,42.70735817
AR,51.60113498,65.61104344,65.546875,51.19209809,43.65162644,38.01613669,52.62850467,62.56335988,60.65918654,62.05837174,59.56725756
MS,51.1548913,51.15074799,57.5390822,63.11769991,45.06866417,43.18276005,45.79358196,43.05504922,43.65391491,61.49923508,61.8010167
HI,47.36842105,45.61292766,49.56692913,55.11708586,59.1160221,59.65417867,58.69424693,60.59307508,56.52023521,44.59660122,44.67874794
OR,42.90116821,39.55280254,44.0874036,50.15619862,46.5345102,41.35077079,40.63985163,37.09727068,42.99497371,48.15765264,47.35076748
NV,41.55495979,46.91808597,51.79000343,55.89606152,52.53587157,46.7223726,49.67213115,70.04016064,70.26783299,55.73000229,55.75098357
CA,31.75203682,33.64764436,36.32255612,37.30956894,38.42533234,38.21046146,40.51131641,41.22044056,41.05580621,34.39878123,34.90351546
