COCNUM,lon,lat
HI-501,-157.8583333,21.3069444
IA-500,-96.4003069,42.4999942
IA-501,-93.6464654,42.0266187
ID-501,-116.3160968,43.6832026
IL-500,-88.2667534,42.333355
IL-502,-87.8898618,42.3000439
IL-507,NA,NA
IL-513,-89.6501481,39.7817213
IL-515,-88.7789787,38.8396162
IL-517,-88.3134327,41.9692411
IL-518,-90.5039349,41.5101734
IL-519,-90.9008581,40.849331
IN-502,-86.160053,39.92017
KS-502,-97.330053,37.6871761
KS-503,-95.6890185,39.0558235
LA-501,-93.2173758,30.2265949
LA-502,-93.7501789,32.5251516
LA-506,-89.7811745,30.2751945
LA-508,-90.7195348,29.5957696
MA-503,-70.248696,41.678229
MA-505,-70.934205,41.6362152
MA-507,-73.0370931,42.5028835
MA-510,0.4286918,52.0779429
MA-511,-70.9427914,42.2088603
MA-513,-71.0756725,42.4176428
MA-516,-73.272113,42.510611
MA-517,-71.0994968,42.3875968
MA-518,-71.1763971,42.3029915
MD-508,-76.4682587,38.3417991
MD-510,-85.1355267,41.3494939
MD-511,-76.0242789,38.748668
MD-513,-75.6218036,38.271597
ME-500,-69.795139,44.309733
MI-500,-83.7392604,42.2540928
MI-503,-83.0048063,42.5057733
MI-504,-83.326743,42.6556254
MI-506,-85.7216596,42.8830428
MI-508,-84.4838654,42.7369792
MI-509,-83.8473015,42.3076493
MI-512,-85.6163153,44.7605457
MI-518,-74.3300842,40.7862871
MI-523,-84.6366201,39.7439405
MN-501,-93.0899578,44.9537029
MN-502,-92.4801989,44.0121221
MN-503,-93.41472,45.222797
MN-505,-94.1805157,45.5730384
MN-508,-96.7645338,46.8834921
MN-509,-92.1004852,46.7866719
MO-600,-93.2583626,37.4233917
MO-603,-94.8105955,39.7995828
MO-604,-94.3879811,39.0347759
MS-500,-90.1848103,32.2987573
MT-500,-115.0508561,48.027583
NC-503,-78.6820946,35.7846633
NC-506,-78.0195387,34.3604687
NC-507,-78.6381787,35.7795897
NC-509,-81.184757,35.26288
NC-513,-79.0558445,35.9131996
NE-500,-96.1331055,41.2327884
NE-501,-95.8987139,41.2903833
NH-500,-70.8432722,43.0357283
NH-502,-71.467566,42.7653662
NJ-501,5.3220544,60.3912628
NJ-506,-74.099688,40.686522
NJ-508,-74.0058114,40.2804557
NJ-510,-74.2097014,40.082129
NJ-516,-75.1558698,40.6766804
NV-501,-119.8162186,39.5169339
NV-502,-119.7930996,39.4724514
NY-500,-77.567406,43.141976
NY-501,-85.2044172,41.5919945
NY-504,-78.7476208,42.2318132
NY-505,-76.1474244,43.0481221
NY-511,-75.9927652,42.2353017
NY-513,-77.0816409,43.0386829
NY-517,NA,NA
NY-518,-75.223499,43.080525
NY-522,-75.181507,44.5949745
NY-523,-73.6358848,43.312037
NY-602,-74.0080887,41.5001956
NY-604,-73.8499816,40.9135631
NY-607,-88.6078392,39.599479
OH-508,-81.120567,40.899579
OK-500,-94.8319187,33.9082972
OK-503,-95.9994809,36.1490082
OR-500,-123.03267,44.0094721
OR-501,-122.4926999,45.531334
OR-502,-122.8577528,42.3249759
OR-505,-123.2794442,44.5637806
OR-506,-122.9904462,45.5231629
OR-507,-122.5703692,45.4076205
PA-501,-76.8867008,40.2731911
