CoCNumber,CoCName,TotalHomeless2016,HomelessVeterans2016,HomelessUnder25Youth2016,"Sheltered Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Chronically Homeless, 2016","Sheltered Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Sheltered Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Sheltered Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Children (Under 18), 2016","Sheltered Homeless Unaccompanied Children (Under 18), 2016","Unsheltered Homeless Unaccompanied Children (Under 18), 2016","Homeless Unaccompanied Young Adults (Age 18-24), 2016","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Parenting Youth (Under 25), 2016","Sheltered Parenting Youth (Under 25), 2016","Unsheltered Parenting Youth (Under 25), 2016","Parenting Youth Under 18, 2016","Sheltered Parenting Youth Under 18, 2016","Unsheltered Parenting Youth Under 18, 2016","Parenting Youth Age 18-24, 2016","Sheltered Parenting Youth Age 18-24, 2016","Unsheltered Parenting Youth Age 18-24, 2016","Children of Parenting Youth, 2016","Sheltered Children of Parenting Youth, 2016","Unsheltered Children of Parenting Youth, 2016"
PA-605,Erie City & County,377,23,29,367,10,257,247,10,120,120,0,11,11,0,11,11,0,0,0,0,22,1,29,0,2,2,0,27,27,0,8,8,0,0,0,0,8,8,0,10,10,0
MI-510,Saginaw City & County,343,19,29,326,17,190,180,10,153,146,7,22,19,3,19,16,3,3,3,0,18,1,27,2,5,5,0,24,22,2,11,10,1,1,1,0,10,9,1,20,19,1
MI-507,Portage/Kalamazoo City & County,374,14,29,366,8,162,154,8,212,212,0,18,18,0,16,16,0,2,2,0,14,0,27,2,8,8,0,21,19,2,20,20,0,2,2,0,18,18,0,30,30,0
MI-512,"Grand Traverse, Antrim, Leelanau Counties",243,14,29,233,10,204,194,10,39,39,0,38,36,2,38,36,2,0,0,0,14,0,29,0,15,15,0,14,14,0,2,2,0,0,0,0,2,2,0,2,2,0
CT-503,Bridgeport/Norwalk /Stamford/Fairfield County,886,53,28,730,156,525,369,156,361,361,0,98,56,42,83,41,42,15,15,0,42,11,23,5,7,7,0,21,16,5,12,12,0,0,0,0,12,12,0,17,17,0
GA-508,DeKalb County Continuum of Care,473,32,28,315,158,233,75,158,240,240,0,24,5,19,21,2,19,3,3,0,19,13,7,21,0,0,0,28,7,21,12,12,0,0,0,0,12,12,0,17,17,0
NJ-501,Bergen County,296,10,28,285,11,185,174,11,111,111,0,10,5,5,10,5,5,0,0,0,10,0,28,0,5,5,0,23,23,0,4,4,0,0,0,0,4,4,0,5,5,0
KS-507,Kansas Balance of State,903,41,27,807,96,396,306,90,507,501,6,85,45,40,66,26,40,19,19,0,40,1,27,0,9,9,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
NC-516,Northwest North Carolina,520,7,27,116,404,216,69,147,304,47,257,19,11,8,19,11,8,0,0,0,4,3,15,12,0,0,0,27,15,12,12,0,12,0,0,0,12,0,12,11,0,11
MA-506,Worcester City & County,1572,160,26,1506,66,528,462,66,1044,1044,0,65,51,14,41,27,14,24,24,0,159,1,23,3,0,0,0,26,23,3,70,70,0,0,0,0,70,70,0,102,102,0
LA-505,Monroe/Northeast Louisiana,188,6,26,175,13,87,74,13,101,101,0,8,5,3,8,5,3,0,0,0,5,1,25,1,5,5,0,21,20,1,6,6,0,0,0,0,6,6,0,9,9,0
NJ-513,Somerset County,218,92,25,209,9,167,158,9,51,51,0,1,1,0,1,1,0,0,0,0,90,2,24,1,8,8,0,17,16,1,7,7,0,0,0,0,7,7,0,7,7,0
TN-509,Appalachian Regional,448,56,25,299,149,366,217,149,82,82,0,117,56,61,117,56,61,0,0,0,40,16,7,18,3,2,1,22,5,17,5,5,0,0,0,0,5,5,0,4,4,0
MD-505,Baltimore County,763,41,25,448,315,383,214,169,380,234,146,108,30,78,87,18,69,21,12,9,17,24,14,11,0,0,0,25,14,11,13,10,3,0,0,0,13,10,3,17,14,3
FL-515,"Panama City/Bay, Jackson Counties",310,39,25,174,136,266,139,127,44,35,9,30,10,20,25,5,20,5,5,0,10,29,20,5,7,7,0,18,13,5,1,1,0,0,0,0,1,1,0,1,1,0
OH-501,Toledo/Lucas County,599,30,25,584,15,388,373,15,211,211,0,31,31,0,24,24,0,7,7,0,29,1,21,4,1,0,1,24,21,3,15,15,0,0,0,0,15,15,0,27,27,0
MD-600,Prince George`s County/Maryland,544,26,25,442,102,236,138,98,308,304,4,20,7,13,20,7,13,0,0,0,19,7,18,7,3,2,1,22,16,6,25,25,0,0,0,0,25,25,0,41,41,0
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties",320,24,25,288,32,266,234,32,54,54,0,40,29,11,40,29,11,0,0,0,19,5,25,0,5,5,0,20,20,0,1,1,0,0,0,0,1,1,0,2,2,0
MA-511,Quincy/Brockton/Weymouth/Plymouth City and County,1692,60,24,1654,38,399,361,38,1293,1293,0,270,254,16,93,77,16,177,177,0,59,1,21,3,0,0,0,24,21,3,92,92,0,3,3,0,89,89,0,93,93,0
MI-514,Battle Creek/Calhoun County,246,33,24,209,37,171,134,37,75,75,0,25,17,8,25,17,8,0,0,0,29,4,14,10,0,0,0,24,14,10,3,3,0,0,0,0,3,3,0,3,3,0
CA-517,Napa City & County,317,22,24,199,118,235,127,108,82,72,10,98,57,41,94,53,41,4,4,0,8,14,20,4,0,0,0,24,20,4,5,5,0,1,1,0,4,4,0,10,10,0
MD-601,Montgomery County,981,17,24,885,96,623,527,96,358,358,0,151,107,44,145,101,44,6,6,0,12,5,24,0,0,0,0,24,24,0,19,19,0,0,0,0,19,19,0,32,32,0
NJ-515,Elizabeth/Union County,513,7,24,451,62,247,198,49,266,253,13,19,10,9,19,10,9,0,0,0,7,0,23,1,0,0,0,24,23,1,29,28,1,0,0,0,29,28,1,32,31,1
NC-501,Asheville/Buncombe County,509,196,23,437,72,472,400,72,37,37,0,74,34,40,72,32,40,2,2,0,192,4,17,6,5,5,0,18,12,6,5,5,0,0,0,0,5,5,0,4,4,0
MA-508,Lowell,594,36,23,575,19,210,191,19,384,384,0,63,63,0,61,61,0,2,2,0,36,0,22,1,0,0,0,23,22,1,10,10,0,0,0,0,10,10,0,11,11,0
OR-507,Clackamas County,463,33,23,155,308,298,17,281,165,138,27,211,2,209,194,0,194,17,2,15,0,33,7,16,1,0,1,22,7,15,16,16,0,0,0,0,16,16,0,14,14,0
NJ-506,Jersey City/Bayonne/Hudson County,829,30,23,603,226,584,360,224,245,243,2,137,14,123,137,14,123,0,0,0,18,12,13,10,0,0,0,23,13,10,20,19,1,0,0,0,20,19,1,28,27,1
NC-500,Winston Salem/Forsyth County,544,67,22,506,38,400,362,38,144,144,0,95,78,17,95,78,17,0,0,0,61,6,20,2,0,0,0,22,20,2,12,12,0,0,0,0,12,12,0,17,17,0
NH-502,Nashua/Hillsborough County,296,63,22,283,13,182,174,8,114,109,5,12,6,6,12,6,6,0,0,0,63,0,20,2,0,0,0,22,20,2,2,2,0,0,0,0,2,2,0,5,5,0
FL-503,Lakeland/Winter Haven/Polk County,635,42,22,375,260,417,201,216,218,174,44,88,20,68,79,14,65,9,6,3,20,22,12,10,3,3,0,19,9,10,4,3,1,0,0,0,4,3,1,7,4,3
MI-515,Monroe City & County,176,27,22,173,3,131,128,3,45,45,0,11,10,1,5,4,1,6,6,0,27,0,22,0,7,7,0,15,15,0,3,3,0,0,0,0,3,3,0,7,7,0
PA-511,Bristol/Bensalem/Bucks County,530,13,22,500,30,200,175,25,330,325,5,22,17,5,22,17,5,0,0,0,10,3,22,0,2,2,0,20,20,0,32,31,1,0,0,0,32,31,1,48,46,2
IL-503,Champaign/Urbana/Rantoul/Champaign County,188,10,22,170,18,124,108,16,64,62,2,5,0,5,5,0,5,0,0,0,8,2,22,0,2,2,0,20,20,0,3,3,0,0,0,0,3,3,0,5,5,0
NJ-510,Lakewood Township/Ocean County,429,2,22,375,54,174,120,54,255,255,0,73,57,16,51,35,16,22,22,0,1,1,19,3,3,3,0,19,16,3,5,5,0,0,0,0,5,5,0,8,8,0
NY-510,Ithaca/Tompkins County,86,2,22,56,30,66,36,30,20,20,0,4,4,0,4,4,0,0,0,0,0,2,20,2,0,0,0,22,20,2,6,6,0,0,0,0,6,6,0,7,7,0
MI-509,Ann Arbor/Washtenaw County,342,41,21,301,41,263,222,41,79,79,0,63,47,16,55,39,16,8,8,0,41,0,19,2,1,1,0,20,18,2,2,2,0,0,0,0,2,2,0,3,3,0
TN-500,Chattanooga/Southeast Tennessee,527,53,20,450,77,361,286,75,166,164,2,91,49,42,81,39,42,10,10,0,43,10,15,5,0,0,0,20,15,5,16,16,0,0,0,0,16,16,0,21,21,0
VT-501,Burlington/Chittenden County,332,31,20,270,62,205,143,62,127,127,0,68,37,31,61,30,31,7,7,0,24,7,17,3,0,0,0,20,17,3,5,5,0,0,0,0,5,5,0,5,5,0
NJ-514,Trenton/Mercer County,465,15,20,421,44,334,290,44,131,131,0,20,2,18,20,2,18,0,0,0,13,2,18,2,3,3,0,17,15,2,20,20,0,0,0,0,20,20,0,25,25,0
NJ-509,Morris County,410,15,20,376,34,245,214,31,165,162,3,34,24,10,24,14,10,10,10,0,14,1,19,1,0,0,0,20,19,1,6,6,0,0,0,0,6,6,0,8,8,0
WV-501,"Huntington/Cabell, Wayne Counties",228,11,20,212,16,136,120,16,92,92,0,13,5,8,13,5,8,0,0,0,8,3,19,1,0,0,0,20,19,1,8,8,0,0,0,0,8,8,0,14,14,0
NY-512,Troy/Rensselaer County,179,3,20,167,12,85,73,12,94,94,0,19,18,1,13,12,1,6,6,0,3,0,19,1,1,0,1,19,19,0,8,8,0,0,0,0,8,8,0,8,8,0
UT-504,Provo/Mountainland,178,3,20,137,41,107,66,41,71,71,0,9,5,4,9,5,4,0,0,0,2,1,16,4,8,8,0,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0
MO-602,"Joplin/Jasper, Newton Counties",297,54,19,238,59,215,159,56,82,79,3,19,19,0,19,19,0,0,0,0,51,3,17,2,4,4,0,15,13,2,10,10,0,0,0,0,10,10,0,18,18,0
VA-502,Roanoke City & County/Salem,308,45,19,301,7,218,211,7,90,90,0,73,71,2,65,63,2,8,8,0,44,1,19,0,0,0,0,19,19,0,5,5,0,0,0,0,5,5,0,7,7,0
IL-517,Aurora/Elgin/Kane County,355,17,19,341,14,269,255,14,86,86,0,76,67,9,74,65,9,2,2,0,16,1,19,0,0,0,0,19,19,0,4,4,0,0,0,0,4,4,0,4,4,0
NJ-511,Paterson/Passaic County,432,8,19,396,36,191,158,33,241,238,3,27,18,9,19,10,9,8,8,0,4,4,19,0,0,0,0,19,19,0,24,24,0,0,0,0,24,24,0,35,35,0
AR-505,Southeast Arkansas,89,2,19,78,11,46,40,6,43,38,5,26,26,0,1,1,0,25,25,0,2,0,19,0,14,14,0,5,5,0,2,2,0,0,0,0,2,2,0,2,2,0
MA-507,Pittsfield/Berkshire County,653,266,18,625,28,455,427,28,198,198,0,80,68,12,48,36,12,32,32,0,265,1,17,1,0,0,0,18,17,1,10,10,0,0,0,0,10,10,0,16,16,0
LA-502,Shreveport/Bossier/Northwest,478,105,18,413,65,368,303,65,110,110,0,17,7,10,17,7,10,0,0,0,105,0,18,0,2,2,0,16,16,0,9,9,0,0,0,0,9,9,0,16,16,0
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties",389,52,18,261,128,290,169,121,99,92,7,81,21,60,81,21,60,0,0,0,33,19,9,9,5,5,0,13,4,9,0,0,0,0,0,0,0,0,0,0,0,0
PA-501,Harrisburg/Dauphin County,433,50,18,390,43,235,195,40,198,195,3,42,28,14,42,28,14,0,0,0,44,6,13,5,0,0,0,18,13,5,11,11,0,0,0,0,11,11,0,15,15,0
TN-503,Central Tennessee,296,48,18,270,26,227,201,26,69,69,0,32,30,2,22,20,2,10,10,0,46,2,18,0,0,0,0,18,18,0,2,2,0,0,0,0,2,2,0,2,2,0
AL-505,Gadsden/Northeast Alabama,167,13,18,91,76,133,70,63,34,21,13,22,11,11,22,11,11,0,0,0,5,8,16,2,14,14,0,4,2,2,1,1,0,0,0,0,1,1,0,1,1,0
MI-519,Holland/Ottawa County,261,8,18,257,4,110,106,4,151,151,0,9,6,3,6,3,3,3,3,0,8,0,17,1,0,0,0,18,17,1,7,7,0,0,0,0,7,7,0,10,10,0
MN-508,Moorhead/West Central Minnesota,211,8,18,199,12,104,92,12,107,107,0,24,21,3,20,17,3,4,4,0,7,1,16,2,2,2,0,16,14,2,14,14,0,0,0,0,14,14,0,18,18,0
MI-516,Norton Shores/Muskegon City & County,191,4,18,184,7,104,97,7,87,87,0,5,1,4,5,1,4,0,0,0,4,0,16,2,1,1,0,17,15,2,9,9,0,1,1,0,8,8,0,19,19,0
FL-512,Saint Johns County,1064,36,17,255,809,781,75,706,283,180,103,35,6,29,35,6,29,0,0,0,9,27,1,16,8,0,8,9,1,8,11,7,4,0,0,0,11,7,4,16,12,4
NY-522,Jefferson/Lewis/St. Lawrence Counties,119,15,17,110,9,96,87,9,23,23,0,8,2,6,8,2,6,0,0,0,13,2,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-501,Mobile City & County/Baldwin County,623,66,16,387,236,477,253,224,146,134,12,80,30,50,80,30,50,0,0,0,56,10,11,5,0,0,0,16,11,5,7,6,1,0,0,0,7,6,1,9,8,1
NJ-507,New Brunswick/Middlesex County,457,14,16,373,84,229,158,71,228,215,13,44,19,25,35,10,25,9,9,0,10,4,13,3,0,0,0,16,13,3,11,11,0,0,0,0,11,11,0,13,13,0
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties",209,13,16,175,34,127,93,34,82,82,0,13,5,8,13,5,8,0,0,0,9,4,9,7,0,0,0,16,9,7,0,0,0,0,0,0,0,0,0,0,0,0
MD-509,Frederick City & County,349,12,16,220,129,249,120,129,100,100,0,133,56,77,133,56,77,0,0,0,8,4,6,10,0,0,0,16,6,10,4,4,0,0,0,0,4,4,0,6,6,0
NY-516,Clinton County,132,1,16,130,2,94,92,2,38,38,0,12,10,2,12,10,2,0,0,0,1,0,16,0,0,0,0,16,16,0,4,4,0,0,0,0,4,4,0,6,6,0
NC-511,Fayetteville/Cumberland County,515,43,15,224,291,341,81,260,174,143,31,80,1,79,74,1,73,6,0,6,18,25,6,9,0,0,0,15,6,9,5,2,3,0,0,0,5,2,3,9,5,4
NH-501,Manchester,400,35,15,346,54,202,150,52,198,196,2,56,37,19,51,32,19,5,5,0,33,2,10,5,0,0,0,15,10,5,18,18,0,0,0,0,18,18,0,20,20,0
MA-510,Gloucester/Haverhill/Salem/Essex County,1206,31,15,1145,61,240,181,59,966,964,2,99,82,17,39,24,15,60,58,2,28,3,12,3,0,0,0,15,12,3,34,34,0,0,0,0,34,34,0,68,68,0
MD-513,Wicomico/Somerset/Worcester County,262,19,15,225,37,213,178,35,49,47,2,33,17,16,33,17,16,0,0,0,17,2,13,2,0,0,0,15,13,2,3,3,0,0,0,0,3,3,0,4,4,0
CA-525,El Dorado County,269,17,15,121,148,192,100,92,77,21,56,139,48,91,95,45,50,44,3,41,6,11,10,5,6,6,0,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0
TX-604,Waco/McLennan County,267,17,15,224,43,120,77,43,147,147,0,35,14,21,25,4,21,10,10,0,11,6,11,4,2,0,2,13,11,2,3,3,0,0,0,0,3,3,0,7,7,0
PA-504,Lower Marion/Norristown/Abington/Montgomery County,398,9,15,378,20,163,143,20,235,235,0,17,13,4,15,11,4,2,2,0,7,2,12,3,0,0,0,15,12,3,2,2,0,0,0,0,2,2,0,5,5,0
NJ-516,"Warren, Sussex, Hunterdon Counties",253,73,14,235,18,182,164,18,71,71,0,25,22,3,23,20,3,2,2,0,73,0,12,2,0,0,0,14,12,2,6,6,0,0,0,0,6,6,0,6,6,0
VA-505,Newport News/Hampton/Virginia Peninsula,464,65,14,407,57,319,262,57,145,145,0,53,35,18,53,35,18,0,0,0,58,7,13,1,0,0,0,14,13,1,5,5,0,0,0,0,5,5,0,9,9,0
LA-500,Lafayette/Acadiana,463,38,14,350,113,299,186,113,164,164,0,62,13,49,62,13,49,0,0,0,27,11,9,5,0,0,0,14,9,5,8,8,0,0,0,0,8,8,0,20,20,0
IL-513,Springfield/Sangamon County,261,22,14,246,15,176,161,15,85,85,0,38,25,13,38,25,13,0,0,0,21,1,14,0,3,3,0,11,11,0,3,3,0,0,0,0,3,3,0,6,6,0
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County,277,17,14,266,11,132,121,11,145,145,0,9,8,1,9,8,1,0,0,0,16,1,12,2,4,4,0,10,8,2,4,4,0,0,0,0,4,4,0,5,5,0
MS-503,Gulf Port/Gulf Coast Regional,320,13,14,113,207,249,50,199,71,63,8,38,9,29,38,9,29,0,0,0,4,9,5,9,0,0,0,14,5,9,1,0,1,0,0,0,1,0,1,1,0,1
VA-508,Lynchburg,174,12,14,153,21,125,104,21,49,49,0,17,10,7,17,10,7,0,0,0,12,0,13,1,0,0,0,14,13,1,2,2,0,0,0,0,2,2,0,3,3,0
MA-515,Fall River,386,5,14,379,7,127,120,7,259,259,0,60,59,1,27,26,1,33,33,0,1,4,14,0,0,0,0,14,14,0,7,7,0,2,2,0,5,5,0,13,13,0
NC-502,Durham City & County,354,71,13,322,32,237,205,32,117,117,0,57,48,9,57,48,9,0,0,0,70,1,12,1,0,0,0,13,12,1,9,9,0,0,0,0,9,9,0,16,16,0
KS-503,Topeka/Shawnee County,381,40,13,334,47,272,225,47,109,109,0,194,181,13,94,81,13,100,100,0,31,9,12,1,0,0,0,13,12,1,1,1,0,0,0,0,1,1,0,1,1,0
PA-508,Scranton/Lackawanna County,242,36,13,231,11,116,105,11,126,126,0,13,8,5,13,8,5,0,0,0,36,0,11,2,1,1,0,12,10,2,14,14,0,1,1,0,13,13,0,19,19,0
WI-502,Racine City & County,196,33,13,195,1,123,122,1,73,73,0,2,2,0,2,2,0,0,0,0,33,0,13,0,4,4,0,9,9,0,2,2,0,0,0,0,2,2,0,2,2,0
OK-506,Southwest Oklahoma Regional,187,33,13,147,40,103,66,37,84,81,3,15,5,10,15,5,10,0,0,0,7,26,12,1,0,0,0,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0
OH-504,Youngstown/Mahoning County,346,30,13,308,38,217,190,27,129,118,11,43,28,15,43,28,15,0,0,0,27,3,10,3,8,7,1,5,3,2,1,0,1,0,0,0,1,0,1,1,0,1
VA-513,"Harrisburg, Winchester/Western Virginia",268,10,13,261,7,173,166,7,95,95,0,69,63,6,64,58,6,5,5,0,10,0,13,0,0,0,0,13,13,0,3,3,0,0,0,0,3,3,0,5,5,0
MD-512,Hagerstown/Washington County,233,46,12,160,73,187,127,60,46,33,13,27,15,12,27,15,12,0,0,0,37,9,8,4,0,0,0,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0
LA-506,Slidell/Southeast Louisiana,275,39,12,215,60,208,156,52,67,59,8,24,9,15,24,9,15,0,0,0,33,6,9,3,0,0,0,12,9,3,3,2,1,0,0,0,3,2,1,6,5,1
MA-503,Cape Cod/Islands,394,23,12,327,67,214,149,65,180,178,2,56,16,40,56,16,40,0,0,0,17,6,4,8,5,0,5,7,4,3,17,17,0,0,0,0,17,17,0,18,18,0
IL-506,Joliet/Bolingbrook/Will County,290,23,12,242,48,195,154,41,95,88,7,17,3,14,17,3,14,0,0,0,20,3,9,3,0,0,0,12,9,3,4,4,0,0,0,0,4,4,0,4,4,0
AL-506,Tuscaloosa City & County,177,19,12,47,130,105,33,72,72,14,58,13,0,13,1,0,1,12,0,12,17,2,0,12,0,0,0,12,0,12,2,1,1,0,0,0,2,1,1,3,2,1
PA-503,Wilkes-Barre/Hazleton/Luzerne County,169,16,12,160,9,109,100,9,60,60,0,2,2,0,2,2,0,0,0,0,16,0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-516,Decatur/Macon County,157,12,12,150,7,110,103,7,47,47,0,23,21,2,23,21,2,0,0,0,12,0,11,1,0,0,0,12,11,1,4,4,0,0,0,0,4,4,0,4,4,0
NV-502,Nevada Balance of State,201,10,12,125,76,125,49,76,76,76,0,27,19,8,10,2,8,17,17,0,6,4,4,8,0,0,0,12,4,8,2,2,0,0,0,0,2,2,0,2,2,0
PA-502,Upper Darby/Chester/Haverford/Delaware County,406,8,12,371,35,247,212,35,159,159,0,26,12,14,26,12,14,0,0,0,8,0,11,1,0,0,0,12,11,1,18,18,0,0,0,0,18,18,0,23,23,0
MN-504,Northeast Minnesota,77,0,12,60,17,37,28,9,40,32,8,2,1,1,2,1,1,0,0,0,0,0,12,0,0,0,0,12,12,0,1,1,0,1,1,0,0,0,0,1,1,0
PA-505,Chester County,558,231,11,553,5,385,380,5,173,173,0,7,7,0,3,3,0,4,4,0,231,0,11,0,5,5,0,6,6,0,3,3,0,0,0,0,3,3,0,4,4,0
VA-604,Prince William County,400,28,11,312,88,187,104,83,213,208,5,57,14,43,52,9,43,5,5,0,17,11,7,4,0,0,0,11,7,4,6,6,0,0,0,0,6,6,0,12,12,0
GA-505,Columbus-Muscogee/Russell County,329,17,11,243,86,272,186,86,57,57,0,35,12,23,35,12,23,0,0,0,11,6,11,0,0,0,0,11,11,0,1,1,0,0,0,0,1,1,0,1,1,0
IL-501,"Rockford/Winnebago, Boone Counties",255,13,11,207,48,175,127,48,80,80,0,47,38,9,47,38,9,0,0,0,6,7,9,2,0,0,0,11,9,2,13,13,0,0,0,0,13,13,0,20,20,0
MA-518,Brookline/Newton,543,12,11,493,50,115,77,38,428,416,12,19,17,2,19,17,2,0,0,0,9,3,8,3,1,1,0,10,7,3,19,19,0,0,0,0,19,19,0,27,27,0
AR-504,Delta Hills,89,0,11,89,0,27,27,0,62,62,0,24,24,0,0,0,0,24,24,0,0,0,11,0,0,0,0,11,11,0,7,7,0,0,0,0,7,7,0,7,7,0
AL-504,Montgomery City & County,367,41,10,293,74,285,214,71,82,79,3,28,18,10,28,18,10,0,0,0,40,1,10,0,0,0,0,10,10,0,3,2,1,0,0,0,3,2,1,6,5,1
IL-508,East Saint Louis/Belleville/Saint Clair County,240,34,10,157,83,132,66,66,108,91,17,41,15,26,36,15,21,5,0,5,29,5,6,4,0,0,0,10,6,4,13,11,2,0,0,0,13,11,2,20,16,4
MA-517,Somerville,165,28,10,159,6,100,94,6,65,65,0,22,16,6,20,14,6,2,2,0,28,0,10,0,0,0,0,10,10,0,17,17,0,1,1,0,16,16,0,20,20,0
GA-506,Marietta/Cobb County,405,21,10,314,91,205,136,69,200,178,22,43,2,41,36,2,34,7,0,7,9,12,9,1,0,0,0,10,9,1,7,7,0,0,0,0,7,7,0,9,9,0
OH-508,Canton/Massillon/Alliance/Stark County,460,16,10,423,37,174,137,37,286,286,0,44,27,17,37,20,17,7,7,0,14,2,8,2,0,0,0,10,8,2,12,12,0,0,0,0,12,12,0,17,17,0
OK-504,Norman/Cleveland County,138,12,10,92,46,118,72,46,20,20,0,60,14,46,60,14,46,0,0,0,6,6,7,3,0,0,0,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0
IL-502,Waukegan/North Chicago/Lake County,299,11,10,280,19,143,124,19,156,156,0,32,27,5,16,11,5,16,16,0,9,2,10,0,0,0,0,10,10,0,8,8,0,0,0,0,8,8,0,17,17,0
MN-511,Southwest Minnesota,123,6,10,117,6,35,29,6,88,88,0,5,5,0,3,3,0,2,2,0,3,3,10,0,2,2,0,8,8,0,8,8,0,0,0,0,8,8,0,5,5,0
MI-518,Livingston County,77,2,10,75,2,39,37,2,38,38,0,1,0,1,1,0,1,0,0,0,2,0,10,0,2,2,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-503,Annapolis/Anne Arundel County,390,28,9,338,52,225,178,47,165,160,5,70,43,27,65,43,22,5,0,5,23,5,7,2,0,0,0,9,7,2,13,13,0,0,0,0,13,13,0,12,12,0
WA-507,Yakima City & County,412,15,9,348,64,211,153,58,201,195,6,72,48,24,70,46,24,2,2,0,10,5,8,1,0,0,0,9,8,1,13,13,0,0,0,0,13,13,0,22,22,0
IA-500,"Sioux City/Dakota, Woodbury Counties",348,15,9,339,9,163,154,9,185,185,0,17,13,4,13,9,4,4,4,0,15,0,8,1,0,0,0,9,8,1,21,21,0,0,0,0,21,21,0,44,44,0
GA-503,Athens/Clarke County,224,14,9,148,76,156,89,67,68,59,9,49,19,30,49,19,30,0,0,0,8,6,7,2,0,0,0,9,7,2,1,1,0,0,0,0,1,1,0,1,1,0
NY-606,Rockland County,141,9,9,109,32,124,92,32,17,17,0,16,5,11,16,5,11,0,0,0,4,5,9,0,0,0,0,9,9,0,1,1,0,0,0,0,1,1,0,1,1,0
OK-500,North Central Oklahoma,129,9,9,78,51,73,30,43,56,48,8,12,2,10,12,2,10,0,0,0,3,6,4,5,0,0,0,9,4,5,6,6,0,0,0,0,6,6,0,8,8,0
IL-519,West Central Illinois,102,5,9,102,0,72,72,0,30,30,0,3,3,0,3,3,0,0,0,0,5,0,9,0,0,0,0,9,9,0,1,1,0,0,0,0,1,1,0,3,3,0
KS-505,Overland Park/Shawnee/Johnson County,153,2,9,143,10,29,19,10,124,124,0,0,0,0,0,0,0,0,0,0,2,0,2,7,1,0,1,8,2,6,3,3,0,0,0,0,3,3,0,7,7,0
MI-511,Lenawee County,137,2,9,119,18,51,47,4,86,72,14,16,13,3,9,9,0,7,4,3,2,0,8,1,3,3,0,6,5,1,3,3,0,0,0,0,3,3,0,3,3,0
NY-513,"Wayne, Ontario, Seneca, Yates Counties",58,1,9,58,0,34,34,0,24,24,0,33,33,0,18,18,0,15,15,0,1,0,9,0,4,4,0,5,5,0,2,2,0,0,0,0,2,2,0,2,2,0
NY-514,Jamestown/Dunkirk/Chautauqua County,23,0,9,23,0,16,16,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,8,8,0,1,1,0,0,0,0,1,1,0,1,1,0
FL-602,Punta Gorda/Charlotte County,388,65,8,134,254,223,79,144,165,55,110,76,10,66,71,5,66,5,5,0,55,10,3,5,0,0,0,8,3,5,39,3,36,0,0,0,39,3,36,39,3,36
VI-500,Virgin Islands,341,32,8,89,252,308,56,252,33,33,0,26,8,18,26,8,18,0,0,0,2,30,0,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties",195,20,8,185,10,108,98,10,87,87,0,45,41,4,34,30,4,11,11,0,18,2,8,0,0,0,0,8,8,0,8,8,0,0,0,0,8,8,0,16,16,0
VA-504,Charlottesville,157,16,8,135,22,111,89,22,46,46,0,33,17,16,30,14,16,3,3,0,12,4,8,0,1,1,0,7,7,0,3,3,0,0,0,0,3,3,0,3,3,0
TN-506,Oak Ridge/Upper Cumberland,249,13,8,187,62,135,101,34,114,86,28,30,17,13,27,14,13,3,3,0,10,3,7,1,0,0,0,8,7,1,6,6,0,0,0,0,6,6,0,8,8,0
MD-504,Howard County,214,7,8,205,9,112,105,7,102,100,2,47,41,6,28,24,4,19,17,2,6,1,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
