CoCNumber,CoCName,TotalHomeless2016,HomelessVeterans2016,HomelessUnder25Youth2016,"Sheltered Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Chronically Homeless, 2016","Sheltered Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Sheltered Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Sheltered Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Children (Under 18), 2016","Sheltered Homeless Unaccompanied Children (Under 18), 2016","Unsheltered Homeless Unaccompanied Children (Under 18), 2016","Homeless Unaccompanied Young Adults (Age 18-24), 2016","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Parenting Youth (Under 25), 2016","Sheltered Parenting Youth (Under 25), 2016","Unsheltered Parenting Youth (Under 25), 2016","Parenting Youth Under 18, 2016","Sheltered Parenting Youth Under 18, 2016","Unsheltered Parenting Youth Under 18, 2016","Parenting Youth Age 18-24, 2016","Sheltered Parenting Youth Age 18-24, 2016","Unsheltered Parenting Youth Age 18-24, 2016","Children of Parenting Youth, 2016","Sheltered Children of Parenting Youth, 2016","Unsheltered Children of Parenting Youth, 2016"
PR-502,Puerto Rico Balance of Commonwealth,2343,79,97,789,1554,2046,559,1487,297,230,67,881,60,821,806,52,754,75,8,67,7,72,37,60,1,0,1,96,37,59,18,18,0,0,0,0,18,18,0,19,19,0
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties",867,56,97,840,27,605,585,20,262,255,7,62,60,2,45,43,2,17,17,0,56,0,90,7,16,16,0,81,74,7,41,38,3,5,5,0,36,33,3,45,41,4
FL-507,"Orlando/Orange, Osceola, Seminole Counties",1670,231,96,1537,133,1094,961,133,576,576,0,106,82,24,106,82,24,0,0,0,225,6,92,4,0,0,0,96,92,4,22,22,0,0,0,0,22,22,0,41,41,0
CO-504,Colorado Springs/El Paso County,1302,168,95,991,311,863,571,292,439,420,19,387,239,148,355,207,148,32,32,0,124,44,62,33,1,1,0,94,61,33,8,6,2,0,0,0,8,6,2,9,7,2
AK-500,Anchorage,1105,89,94,865,240,905,665,240,200,200,0,50,48,2,48,46,2,2,2,0,60,29,84,10,3,3,0,91,81,10,6,6,0,0,0,0,6,6,0,6,6,0
CT-505,Connecticut Balance of State,3016,163,91,2499,517,2045,1534,511,971,965,6,369,226,143,356,213,143,13,13,0,131,32,74,17,1,1,0,90,73,17,49,48,1,0,0,0,49,48,1,76,75,1
CA-505,Richmond/Contra Costa County,1730,136,91,620,1110,1366,385,981,364,235,129,384,164,220,346,145,201,38,19,19,51,85,40,51,6,5,1,85,35,50,21,13,8,0,0,0,21,13,8,21,14,7
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties",629,37,91,272,357,521,169,352,108,103,5,306,63,243,267,24,243,39,39,0,10,27,44,47,39,8,31,52,36,16,3,2,1,0,0,0,3,2,1,7,5,2
MN-505,St. Cloud/Central Minnesota,669,25,91,502,167,349,228,121,320,274,46,18,12,6,10,4,6,8,8,0,24,1,65,26,10,2,8,81,63,18,23,22,1,0,0,0,23,22,1,22,21,1
IN-503,Indianapolis,1619,326,90,1489,130,1162,1032,130,457,457,0,162,110,52,128,76,52,34,34,0,317,9,76,14,4,4,0,86,72,14,27,27,0,0,0,0,27,27,0,58,58,0
WA-503,Tacoma/Lakewood/Pierce County,1762,190,90,1268,494,1062,637,425,700,631,69,388,182,206,307,127,180,81,55,26,100,90,65,25,9,9,0,81,56,25,31,30,1,0,0,0,31,30,1,41,39,2
NM-500,Albuquerque,1222,139,90,1039,183,867,693,174,355,346,9,255,165,90,240,150,90,15,15,0,123,16,80,10,34,34,0,56,46,10,6,6,0,0,0,0,6,6,0,12,12,0
CA-604,Bakersfield/Kern County,1067,99,89,561,506,875,381,494,192,180,12,272,65,207,254,53,201,18,12,6,65,34,31,58,0,0,0,89,31,58,5,5,0,0,0,0,5,5,0,11,11,0
TN-504,Nashville/Davidson County,2365,230,88,1692,673,2069,1396,673,296,296,0,978,406,572,953,381,572,25,25,0,169,61,70,18,6,6,0,82,64,18,0,0,0,0,0,0,0,0,0,0,0,0
OK-501,Tulsa City & County/Broken Arrow,1043,108,88,893,150,766,633,133,277,260,17,118,60,58,118,60,58,0,0,0,88,20,50,38,1,1,0,87,49,38,14,12,2,0,0,0,14,12,2,18,15,3
OH-502,Cleveland/Cuyahoga County,1697,202,85,1623,74,1360,1286,74,337,337,0,193,156,37,175,138,37,18,18,0,190,12,83,2,0,0,0,85,83,2,25,25,0,0,0,0,25,25,0,48,48,0
NY-604,Yonkers/Mount Vernon/New Rochelle/Westchester,1750,128,85,1716,34,658,624,34,1092,1092,0,131,117,14,126,112,14,5,5,0,126,2,80,5,7,7,0,78,73,5,99,99,0,0,0,0,99,99,0,129,129,0
MD-501,Baltimore City,2725,269,82,2388,337,2027,1690,337,698,698,0,605,437,168,585,417,168,20,20,0,234,35,56,26,6,3,3,76,53,23,57,57,0,0,0,0,57,57,0,87,87,0
AR-503,Arkansas  Balance of State ,734,22,82,369,365,519,272,247,215,97,118,89,22,67,81,20,61,8,2,6,14,8,21,61,0,0,0,82,21,61,4,4,0,0,0,0,4,4,0,4,4,0
NY-503,Albany City & County,748,71,81,722,26,468,442,26,280,280,0,83,63,20,80,60,20,3,3,0,69,2,76,5,10,6,4,71,70,1,16,16,0,3,3,0,13,13,0,21,21,0
WA-504,Everett/Snohomish County,960,58,80,489,471,702,266,436,258,223,35,254,43,211,239,28,211,15,15,0,22,36,37,43,23,16,7,57,21,36,9,8,1,1,1,0,8,7,1,11,9,2
